name,id,bd,competitor_id,photo,club,country
Bryna McCarty,537446,1983,39056,https://data.fis-ski.com/general/load-competitor-picture/39056.html,Burke Mountain Academy,USA
Martina Koschuttnigg,55033,1974,31984,https://data.fis-ski.com/general/load-competitor-picture/31984.html,,AUT
Georgia Willinger,415213,1997,187424,https://data.fis-ski.com/general/load-competitor-picture/187424.html,NSC Alpine,NZL
Tanis Hunt,535281,1970,26291,https://data.fis-ski.com/general/load-competitor-picture/26291.html,,USA
Ludmila Milanova,705019,1967,40273,https://data.fis-ski.com/general/load-competitor-picture/40273.html,,SVK
Lubica Lopusna,705037,1981,35941,https://data.fis-ski.com/general/load-competitor-picture/35941.html,,SVK
Heidi Wiesler,205206,1960,66164,https://data.fis-ski.com/general/load-competitor-picture/66164.html,,GER
Noemie Kolly,516521,20-07-1998,196201,https://data.fis-ski.com/general/load-competitor-picture/196201.html,La Berra,SUI
Alenka Kuerner,565290,1986,70097,https://data.fis-ski.com/general/load-competitor-picture/70097.html,BLE - SK Bled,SLO
Kjersti Bjorn-roli,535968,1976,5268,https://data.fis-ski.com/general/load-competitor-picture/5268.html,Alyeska SKI Club,USA
Neja Dvornik,565491,06-01-2001,221143,https://data.fis-ski.com/general/load-competitor-picture/221143.html,SK Dvornik transport,SLO
Sofia Goggia,298323,15-11-1992,140744,https://data.fis-ski.com/general/load-competitor-picture/140744.html,GRUPPO SCIATORI FIAMME GIALLE,ITA
Corina Hossmann,515363,1976,25910,https://data.fis-ski.com/general/load-competitor-picture/25910.html,,SUI
Leila Piccard,195277,1971,47724,https://data.fis-ski.com/general/load-competitor-picture/47724.html,Les Saisies,FRA
Verena Gasslitter,299402,12-10-1996,176373,https://data.fis-ski.com/general/load-competitor-picture/176373.html,C.S. Carabinieri SEZ. SCI,ITA
Thea Louise Stjernesund,426193,24-11-1996,174491,https://data.fis-ski.com/general/load-competitor-picture/174491.html,Hakadal Il,NOR
Lisa-Maria Zeller,56126,1992,146667,https://data.fis-ski.com/general/load-competitor-picture/146667.html,BRM - SK Branik Maribor,SLO
Carina Raich,55388,1979,49659,https://data.fis-ski.com/general/load-competitor-picture/49659.html,,AUT
Ashley T. Davenport,535940,1976,12449,https://data.fis-ski.com/general/load-competitor-picture/12449.html,,USA
Melanie Meillard,516528,23-09-1998,196292,https://data.fis-ski.com/general/load-competitor-picture/196292.html,Heremencia,SUI
Chloe Margrethe Fausa,425916,1992,136919,https://data.fis-ski.com/general/load-competitor-picture/136919.html,IL Heming,NOR
Jasmine Flury,516248,16-09-1993,147749,https://data.fis-ski.com/general/load-competitor-picture/147749.html,Rinerhorn,SUI
Lesley Beck,225002,1964,3636,https://data.fis-ski.com/general/load-competitor-picture/3636.html,,GBR
Karin Huttary,505436,1977,26404,https://data.fis-ski.com/general/load-competitor-picture/26404.html,,SWE
Angelika Gruener,296242,1983,21974,https://data.fis-ski.com/general/load-competitor-picture/21974.html,S.C. Senales,ITA
Eva Kurfuerstova,155194,1977,33031,https://data.fis-ski.com/general/load-competitor-picture/33031.html,Ski team Karvina,CZE
Maryna Gasienica Daniel,435334,19-02-1994,160104,https://data.fis-ski.com/general/load-competitor-picture/160104.html,TS Wisla Zakopane,POL
Roberta Serra,295310,1970,55740,https://data.fis-ski.com/general/load-competitor-picture/55740.html,,ITA
Andrea Schwarzenberger,205343,1971,55168,https://data.fis-ski.com/general/load-competitor-picture/55168.html,,GER
Klara Pospisilova,155887,12-08-1999,202983,https://data.fis-ski.com/general/load-competitor-picture/202983.html,Ckl Harrachov,CZE
Katharina Duerr,205168,1989,104473,https://data.fis-ski.com/general/load-competitor-picture/104473.html,SV Germering,GER
Liene Bondare,555035,21-02-1996,172202,https://data.fis-ski.com/general/load-competitor-picture/172202.html,SK Apex,LAT
Marta Antonioli,295644,1976,1448,https://data.fis-ski.com/general/load-competitor-picture/1448.html,,ITA
Wendy Siorpaes,296473,1985,56754,https://data.fis-ski.com/general/load-competitor-picture/56754.html,G.S. Fiamme Oro,ITA
Kelly Mcbroom,105334,1989,104691,https://data.fis-ski.com/general/load-competitor-picture/104691.html,BAR,CAN
Anna Marno,539457,1992,138847,https://data.fis-ski.com/general/load-competitor-picture/138847.html,Steamboat Springs Winter Sports Clu,USA
Edda Mutter,205265,1970,42379,https://data.fis-ski.com/general/load-competitor-picture/42379.html,SC Todtnau,GER
Emilie Desforges,106410,1983,13327,https://data.fis-ski.com/general/load-competitor-picture/13327.html,"Mont Tremblant,  CAN",CAN
Madison Mcleish,107156,1992,136314,https://data.fis-ski.com/general/load-competitor-picture/136314.html,,CAN
Blanca Fernandez Ochoa,495013, ,16881,https://data.fis-ski.com/general/load-competitor-picture/16881.html,,ESP
Katjusa Pusnik,565033,1969,49363,https://data.fis-ski.com/general/load-competitor-picture/49363.html,,SLO
Nuunu Chemnitz Berthelsen,175050,30-10-1996,179850,https://data.fis-ski.com/general/load-competitor-picture/179850.html,Ns-84,DEN
Rowena Bright,45087,1980,7167,https://data.fis-ski.com/general/load-competitor-picture/7167.html,,AUS
Stefanie Fleckenstein,107697,06-09-1997,188672,https://data.fis-ski.com/general/load-competitor-picture/188672.html,WMSC,CAN
Susanne Riesch,206160,1987,78989,https://data.fis-ski.com/general/load-competitor-picture/78989.html,SC Partenkirchen,GER
Brittany Phelan,107068,1991,125486,https://data.fis-ski.com/general/load-competitor-picture/125486.html,Mont-Tremblant,CAN
Caroline Gedde Dahl,425240,1973,19740,https://data.fis-ski.com/general/load-competitor-picture/19740.html,,NOR
Riikka Honkanen,185430,17-07-1998,196310,https://data.fis-ski.com/general/load-competitor-picture/196310.html,Slalom-Seura,FIN
Stina Hofgard Nilsen,425389,1979,43558,https://data.fis-ski.com/general/load-competitor-picture/43558.html,Samnanger IL,NOR
Veronique Hronek,206367,23-09-1991,126539,https://data.fis-ski.com/general/load-competitor-picture/126539.html,SV Unterwoessen,GER
Sari Skaling,535191,1969,56876,https://data.fis-ski.com/general/load-competitor-picture/56876.html,,USA
Ingrid Stoeckl,55082,1969,58936,https://data.fis-ski.com/general/load-competitor-picture/58936.html,,AUT
Alena Kasakova,485364,1984,29536,https://data.fis-ski.com/general/load-competitor-picture/29536.html,,RUS
Mojca Rataj,715135,1979,109853,https://data.fis-ski.com/general/load-competitor-picture/109853.html,Karaula -  Karaula,BIH
Karoline Trojer,296438,1984,62380,https://data.fis-ski.com/general/load-competitor-picture/62380.html,C.S. Esercito,ITA
Mikaela Shiffrin,6535237,13-03-1995,164835,https://data.fis-ski.com/general/load-competitor-picture/164835.html,Ski and Snowboard Club Vail,USA
Alice Merryweather,6535600,05-10-1996,175688,https://data.fis-ski.com/general/load-competitor-picture/175688.html,Stratton Mountain School,USA
Sofija Novoselic,385041,1990,116199,https://data.fis-ski.com/general/load-competitor-picture/116199.html,SK Medvescak,CRO
Kirsten McGarry,275009,1985,39164,https://data.fis-ski.com/general/load-competitor-picture/39164.html,Kandahar,IRL
Fanny Chmelar,206035,1985,10037,https://data.fis-ski.com/general/load-competitor-picture/10037.html,SC Partenkirchen,GER
Jessica Puenchera,515587,1982,49236,https://data.fis-ski.com/general/load-competitor-picture/49236.html,Bernina Pontresina,SUI
Sophie Splawinski,106593,1985,58052,https://data.fis-ski.com/general/load-competitor-picture/58052.html,Morin Heights,CAN
Sachiko Yamamoto,305099,1970,67247,https://data.fis-ski.com/general/load-competitor-picture/67247.html,,JPN
Melanie Lenoir,195681,1978,34860,https://data.fis-ski.com/general/load-competitor-picture/34860.html,CS LA Plagne,FRA
Anemone Marmottan,196793,1988,97732,https://data.fis-ski.com/general/load-competitor-picture/97732.html,C.S. Val d Isere,FRA
Charlotte Chable,516334,31-10-1994,156479,https://data.fis-ski.com/general/load-competitor-picture/156479.html,Villars sur Ollon,SUI
Lavinia Chrystal,45216,1989,104081,https://data.fis-ski.com/general/load-competitor-picture/104081.html,,AUS
Stefanie Koehle,55818,1986,68636,https://data.fis-ski.com/general/load-competitor-picture/68636.html,SK Fliess - Tirol,AUT
Eva Walkner,55382,1979,65057,https://data.fis-ski.com/general/load-competitor-picture/65057.html,,AUT
Picabo Street,535503,1971,59160,https://data.fis-ski.com/general/load-competitor-picture/59160.html,Ussa,USA
Thea Grosvold,425803,1990,119067,https://data.fis-ski.com/general/load-competitor-picture/119067.html,IL Heming,NOR
Regine Cavagnoud,195195, ,9308,https://data.fis-ski.com/general/load-competitor-picture/9308.html,Ski Club La Clusaz,FRA
Marion Bertrand,196179,1984,4650,https://data.fis-ski.com/general/load-competitor-picture/4650.html,C.S. Auron,FRA
Ariane Raedler,56256,20-01-1995,166025,https://data.fis-ski.com/general/load-competitor-picture/166025.html,SC Moeggers - Vorarlberg,AUT
Annelise Coberger,415022,1971,10590,https://data.fis-ski.com/general/load-competitor-picture/10590.html,,NZL
Tamara Schaedler,355020,1977,54174,https://data.fis-ski.com/general/load-competitor-picture/54174.html,Ski Club Triesenberg,LIE
Kari Anne Saude,425064,1966,53926,https://data.fis-ski.com/general/load-competitor-picture/53926.html,,NOR
Cornelia Meusburger,55058,1972,39909,https://data.fis-ski.com/general/load-competitor-picture/39909.html,,AUT
Nadia Delago,299630,12-11-1997,188278,https://data.fis-ski.com/general/load-competitor-picture/188278.html,G.S. FIAMME ORO MOENA,ITA
Nadja Vogel,516109,1990,117615,https://data.fis-ski.com/general/load-competitor-picture/117615.html,Escholzmatt,SUI
Brigitte Auer,55194,1966,2124,https://data.fis-ski.com/general/load-competitor-picture/2124.html,,AUT
Fabienne Suter,515766,05-01-1985,59692,https://data.fis-ski.com/general/load-competitor-picture/59692.html,Sattel-Hochstuckli,SUI
Sasa Brezovnik,565428,04-05-1995,165117,https://data.fis-ski.com/general/load-competitor-picture/165117.html,SD Unior Celje,SLO
Noora Haterma,185196,1984,23707,https://data.fis-ski.com/general/load-competitor-picture/23707.html,Hyvinkään Slalomseura Sukkula,FIN
Laurence St-Germain,107427,30-05-1994,155388,https://data.fis-ski.com/general/load-competitor-picture/155388.html,MONT SAINTE-ANNE,CAN
Riitta Pitkanen,185081,1977,48085,https://data.fis-ski.com/general/load-competitor-picture/48085.html,Fjällskidarklubben -37,FIN
Monika Kaeslin,515263,1972,28859,https://data.fis-ski.com/general/load-competitor-picture/28859.html,,SUI
Camilla Borsotti,297134,1988,96157,https://data.fis-ski.com/general/load-competitor-picture/96157.html,C.S. CARABINIERI SEZ. SCI,ITA
Melanie Turgeon,105546,1976,62713,https://data.fis-ski.com/general/load-competitor-picture/62713.html,"Mont Ste Anne, Quebec",CAN
Elena Fanchini,296472,30-04-1985,16415,https://data.fis-ski.com/general/load-competitor-picture/16415.html,GRUPPO SCIATORI FIAMME GIALLE,ITA
Petra Haltmayr,205119,1975,22977,https://data.fis-ski.com/general/load-competitor-picture/22977.html,SC Rettenberg,GER
Federica Brignone,297601,14-07-1990,118379,https://data.fis-ski.com/general/load-competitor-picture/118379.html,C.S. CARABINIERI SEZ. SCI,ITA
Marie - Pierre Gatel,195074,1968,19592,https://data.fis-ski.com/general/load-competitor-picture/19592.html,,FRA
Vanina Guerillot,595020,2002,229540,https://data.fis-ski.com/general/load-competitor-picture/229540.html,Vanoise Ski Academy,POR
Maja Knez,565378,1992,137303,https://data.fis-ski.com/general/load-competitor-picture/137303.html,SLG - SK Slovenj Gradec,SLO
Marianne Winge,425018,1974,66553,https://data.fis-ski.com/general/load-competitor-picture/66553.html,,NOR
Alice Jones,45053,1976,28402,https://data.fis-ski.com/general/load-competitor-picture/28402.html,,AUS
Karolina Chrapek,435245,1990,118063,https://data.fis-ski.com/general/load-competitor-picture/118063.html,AZS AWF Katowice,POL
Alexandra Munteanu,465045,1980,42166,https://data.fis-ski.com/general/load-competitor-picture/42166.html,CSM Brasov,ROU
Stefanie Wopfner,55979,1989,106307,https://data.fis-ski.com/general/load-competitor-picture/106307.html,SC  Patscherkofel - Tirol,AUT
Magdalena Fjaellstroem,506664,12-01-1995,164372,https://data.fis-ski.com/general/load-competitor-picture/164372.html,Taerna Ik Fjaellvinden,SWE
Triin Tobi,395015,1995,163395,https://data.fis-ski.com/general/load-competitor-picture/163395.html,Sportclub Maesuusakool,EST
Christel Pascal,195377,1973,46297,https://data.fis-ski.com/general/load-competitor-picture/46297.html,PRA LOU,FRA
Tatum Skoglund,535224,1978,56988,https://data.fis-ski.com/general/load-competitor-picture/56988.html,Crystal Mountain Alpine Club,USA
Tina Weirather,355050,24-05-1989,107164,https://data.fis-ski.com/general/load-competitor-picture/107164.html,SC Schaan,LIE
Ana Bucik,565401,21-07-1993,146979,https://data.fis-ski.com/general/load-competitor-picture/146979.html,SK Gorica,SLO
Stephanie Resch,56282,22-11-1995,167504,https://data.fis-ski.com/general/load-competitor-picture/167504.html,,AUT
Angelica Simari Birkner,35177,28-10-1994,155742,https://data.fis-ski.com/general/load-competitor-picture/155742.html,ADCL,ARG
Zazie Huml,6536636,25-09-2001,220307,https://data.fis-ski.com/general/load-competitor-picture/220307.html,Northstar Ski and Snowboard Team,CZE
Anni Kronbichler,55043,1963,32583,https://data.fis-ski.com/general/load-competitor-picture/32583.html,,AUT
Aleksandra Prokopyeva,485749,24-07-1994,157583,https://data.fis-ski.com/general/load-competitor-picture/157583.html,L.Tyagachev,RUS
Sandra-Elena Narea,465060,29-04-1988,94574,https://data.fis-ski.com/general/load-competitor-picture/94574.html,CSAM Bucegi,ROU
Joana Haehlen,516185,23-01-1992,138498,https://data.fis-ski.com/general/load-competitor-picture/138498.html,Lenk i.S.,SUI
Andreja Rataj,565295,1986,70102,https://data.fis-ski.com/general/load-competitor-picture/70102.html,,SLO
Sylviane Berthod,515409,1977,4591,https://data.fis-ski.com/general/load-competitor-picture/4591.html,Nendaz,SUI
Dominique Gisin,515747,04-06-1985,20518,https://data.fis-ski.com/general/load-competitor-picture/20518.html,Engelberg,SUI
Christiane Bauer,205911,1983,3371,https://data.fis-ski.com/general/load-competitor-picture/3371.html,TSV Oberammergau,GER
Hilla Hannola,185437,06-01-1998,197351,https://data.fis-ski.com/general/load-competitor-picture/197351.html,Santa Claus ski Team,FIN
Marianne Mair,205202,1989,104492,https://data.fis-ski.com/general/load-competitor-picture/104492.html,SC Reichersbeuern,GER
Paula Moltzan,539909,07-04-1994,155859,https://data.fis-ski.com/general/load-competitor-picture/155859.html,University of Vermont Ski Team,USA
Petra Knor,55544,1980,31169,https://data.fis-ski.com/general/load-competitor-picture/31169.html,,AUT
Tanja Steinebrunner,515117,1968,58553,https://data.fis-ski.com/general/load-competitor-picture/58553.html,,SUI
Lucie Laroche,105073,1968,34000,https://data.fis-ski.com/general/load-competitor-picture/34000.html,,CAN
Josee Lacasse,105071,1965,33369,https://data.fis-ski.com/general/load-competitor-picture/33369.html,,CAN
Linn Remmem,425118,1970,50465,https://data.fis-ski.com/general/load-competitor-picture/50465.html,,NOR
Veronika Velez Zuzulova,705287,15-07-1984,68555,https://data.fis-ski.com/general/load-competitor-picture/68555.html,Ski Zu Bratislava,SVK
Helene Dumermuth,515643,1983,14638,https://data.fis-ski.com/general/load-competitor-picture/14638.html,,SUI
Ana Geli Espana,495205,1978,19808,https://data.fis-ski.com/general/load-competitor-picture/19808.html,,ESP
Marjolein Decroix,65075,17-03-1992,138142,https://data.fis-ski.com/general/load-competitor-picture/138142.html,Ice Mountain Racing Team,BEL
Lotte Smiseth Sejersted,425880,1991,127674,https://data.fis-ski.com/general/load-competitor-picture/127674.html,Stabaek IF,NOR
Kristina Koznick,535825,1975,32230,https://data.fis-ski.com/general/load-competitor-picture/32230.html,Buck Hill Ski Team And Club,USA
Jacqueline Wiles,539536,13-07-1992,139509,https://data.fis-ski.com/general/load-competitor-picture/139509.html,White Pass Ski Club - WA,USA
Spela Pretnar,565097,1973,49005,https://data.fis-ski.com/general/load-competitor-picture/49005.html,,SLO
Matea Ferk,385034,1987,80381,https://data.fis-ski.com/general/load-competitor-picture/80381.html,SK Rijeka,CRO
Nina Ortlieb,56328,02-04-1996,176109,https://data.fis-ski.com/general/load-competitor-picture/176109.html,,AUT
Esther Paslier,197861,10-09-1997,188729,https://data.fis-ski.com/general/load-competitor-picture/188729.html,C.S d hiver du brianconnais,FRA
Jeanette Lunde,425213,1972,36294,https://data.fis-ski.com/general/load-competitor-picture/36294.html,,NOR
Lindsey Roberts,105100,1972,51317,https://data.fis-ski.com/general/load-competitor-picture/51317.html,,CAN
Claudia Riegler,415069,1976,50953,https://data.fis-ski.com/general/load-competitor-picture/50953.html,,NZL
Michelle Herwerden Van,405092,1990,116091,https://data.fis-ski.com/general/load-competitor-picture/116091.html,Ski Racing Heemskerk,NED
Emelie Henning,506965,04-04-1999,202675,https://data.fis-ski.com/general/load-competitor-picture/202675.html,Jaerfaella Ak,SWE
Angela Drexl,205026,1968,14330,https://data.fis-ski.com/general/load-competitor-picture/14330.html,,GER
Kazuko Ikeda,305015,1974,26639,https://data.fis-ski.com/general/load-competitor-picture/26639.html,Rossignol Japan,JPN
Golnur Postnikova,485025,1964,48755,https://data.fis-ski.com/general/load-competitor-picture/48755.html,,RUS
Delphine Rayne,195054,1978,50061,https://data.fis-ski.com/general/load-competitor-picture/50061.html,Sauze Barcel,FRA
Keely Cashman,6536213,04-04-1999,202929,https://data.fis-ski.com/general/load-competitor-picture/202929.html,Squaw Valley ski Team,USA
Elese Sommerova,155962,15-09-2001,222295,https://data.fis-ski.com/general/load-competitor-picture/222295.html,,CZE
Nella Korpio,185447,12-07-1999,207145,https://data.fis-ski.com/general/load-competitor-picture/207145.html,Helsinki Ski Club,FIN
Katharina Truppe,56315,15-01-1996,175818,https://data.fis-ski.com/general/load-competitor-picture/175818.html,ASKOE ESV St. Veit,AUT
Zana Novakovic,715123,1985,74439,https://data.fis-ski.com/general/load-competitor-picture/74439.html,Jahorina -  Jahorina,BIH
Eli Plut,565417,1994,155148,https://data.fis-ski.com/general/load-competitor-picture/155148.html,OLI - SK Olimpija,SLO
Kristina Saalova,705377,20-05-1991,127129,https://data.fis-ski.com/general/load-competitor-picture/127129.html,SK KARTIK BANSKA BYSTRICA,SVK
Sabrina Beer,205804,1981,3712,https://data.fis-ski.com/general/load-competitor-picture/3712.html,DJK Weildorf,GER
Barbara Sadleder,55066,1967,52890,https://data.fis-ski.com/general/load-competitor-picture/52890.html,,AUT
Deborah Compagnoni,295267,1970,10931,https://data.fis-ski.com/general/load-competitor-picture/10931.html,,ITA
Lucie Zikova,155409,1984,68268,https://data.fis-ski.com/general/load-competitor-picture/68268.html,University Team Boulder Buffs Univ,CZE
Trude Gimle,425031,1974,20375,https://data.fis-ski.com/general/load-competitor-picture/20375.html,Murskog/Holand Alpinklub,NOR
Kia-Emilia Hakala,185435,07-05-1998,196886,https://data.fis-ski.com/general/load-competitor-picture/196886.html,Harjavallan Jymy,FIN
Martina Ertl,205378,1973,15994,https://data.fis-ski.com/general/load-competitor-picture/15994.html,SC Lenggries,GER
Anna Ottosson,505187,1976,45607,https://data.fis-ski.com/general/load-competitor-picture/45607.html,Östersund Frösö SLK,SWE
Charlene Gardet,196873,1989,108611,https://data.fis-ski.com/general/load-competitor-picture/108611.html,S.C. Crest Voland,FRA
Lea Dabic,565207,1981,12069,https://data.fis-ski.com/general/load-competitor-picture/12069.html,SK Bled,SLO
Leanne Smith,538305,1987,82326,https://data.fis-ski.com/general/load-competitor-picture/82326.html,,USA
Ingrid Rumpfhuber,55588,1981,52517,https://data.fis-ski.com/general/load-competitor-picture/52517.html,WSV Sparkasse Bad Ischl,AUT
Renate Lazak,205098,1963,34342,https://data.fis-ski.com/general/load-competitor-picture/34342.html,,GER
Nicole Schmidhofer,55970,15-03-1989,106298,https://data.fis-ski.com/general/load-competitor-picture/106298.html,Union SC Schoenberg- Lachtal,AUT
Marianna Salchinger,55051,1974,53182,https://data.fis-ski.com/general/load-competitor-picture/53182.html,,AUT
Sibylle Murer,515416,1977,42257,https://data.fis-ski.com/general/load-competitor-picture/42257.html,Beckenried-Klewenalp,SUI
Karin Blaser,55383,1979,5477,https://data.fis-ski.com/general/load-competitor-picture/5477.html,,AUT
Tasha Nelson,535118,1974,43096,https://data.fis-ski.com/general/load-competitor-picture/43096.html,Buck Hill SKI Team,USA
Eleonore Richon,195321,1972,50852,https://data.fis-ski.com/general/load-competitor-picture/50852.html,,FRA
Giulia Lorini,299035,19-01-1995,165052,https://data.fis-ski.com/general/load-competitor-picture/165052.html,CIRCOLO SCIATORI MADESIMO A.S.D.,ITA
Lisa Blomqvist,506555,1994,156134,https://data.fis-ski.com/general/load-competitor-picture/156134.html,Uhsk Umea sk,SWE
Ekaterina Tkachenko,485802,07-03-1995,165184,https://data.fis-ski.com/general/load-competitor-picture/165184.html,FSO,RUS
Maia Barmettler,515298,1981,3012,https://data.fis-ski.com/general/load-competitor-picture/3012.html,Bannalp-Wolfenschiessen,SUI
Florence Masnada,195113,1968,38287,https://data.fis-ski.com/general/load-competitor-picture/38287.html,CS Chamrouss,FRA
Veronika Thanner,55315,1977,61165,https://data.fis-ski.com/general/load-competitor-picture/61165.html,,AUT
Jessica Honkonen,185267,1989,105284,https://data.fis-ski.com/general/load-competitor-picture/105284.html,Santa Claus Ski Team,FIN
Tiffany Gauthier,197383,02-12-1993,144745,https://data.fis-ski.com/general/load-competitor-picture/144745.html,C.S. Tignes,FRA
Stacey J Cook,537582,1984,11090,https://data.fis-ski.com/general/load-competitor-picture/11090.html,Mammoth Mountain Ski and Snowboard ,USA
Kaylin L Richardson,537626,1984,50836,https://data.fis-ski.com/general/load-competitor-picture/50836.html,Team Gilboa,USA
Marilyn Sterchi,515489,1979,58721,https://data.fis-ski.com/general/load-competitor-picture/58721.html,,SUI
Stephanie Jenal,516517,09-03-1998,195818,https://data.fis-ski.com/general/load-competitor-picture/195818.html,Samnaun,SUI
Chiara Gmuer,516265,1993,148143,https://data.fis-ski.com/general/load-competitor-picture/148143.html,Saechsmoor,SUI
Tea Palic,385052,1991,127535,https://data.fis-ski.com/general/load-competitor-picture/127535.html,SK Medvescak,CRO
Vanessa Schaedler,355052,1990,119737,https://data.fis-ski.com/general/load-competitor-picture/119737.html,Triesenberg,LIE
Martina Osterried,205409,1973,45502,https://data.fis-ski.com/general/load-competitor-picture/45502.html,,GER
Verena Stuffer,296431,1984,59332,https://data.fis-ski.com/general/load-competitor-picture/59332.html,CS CARABINIERI,ITA
Megan McJames,538284,1987,82305,https://data.fis-ski.com/general/load-competitor-picture/82305.html,,USA
Kristine Heggelund,425299,1976,24096,https://data.fis-ski.com/general/load-competitor-picture/24096.html,,NOR
Candace Crawford,107387,11-03-1994,155344,https://data.fis-ski.com/general/load-competitor-picture/155344.html,GEORGIAN PEAKS,CAN
Kumiko Kashiwagi,305092,1978,29560,https://data.fis-ski.com/general/load-competitor-picture/29560.html,,JPN
Carrie Sheinberg,535358,1972,55977,https://data.fis-ski.com/general/load-competitor-picture/55977.html,,USA
Yina Moe Lange,175043,1993,146311,https://data.fis-ski.com/general/load-competitor-picture/146311.html,Skiklubben Hareskov,DEN
Mateja Robnik,565315,1987,78848,https://data.fis-ski.com/general/load-competitor-picture/78848.html,LUC - SK LUCE,SLO
Martina Peterlini,299699,24-10-1997,188568,https://data.fis-ski.com/general/load-competitor-picture/188568.html,G.S. FIAMME ORO MOENA,ITA
Andrea Komsic,385092,04-05-1996,172527,https://data.fis-ski.com/general/load-competitor-picture/172527.html,SK Nordis,CRO
Aline Bonjour,515733,1985,6076,https://data.fis-ski.com/general/load-competitor-picture/6076.html,Le Chamois Leysin,SUI
Manuela Heubi,515057,1971,24654,https://data.fis-ski.com/general/load-competitor-picture/24654.html,,SUI
Ulrike Maier,55048, ,37010,https://data.fis-ski.com/general/load-competitor-picture/37010.html,,AUT
Allison Forsyth,105741,1978,17832,https://data.fis-ski.com/general/load-competitor-picture/17832.html,Mt.  Washington Ski Club,CAN
Manuela Lieb,55165,1971,35214,https://data.fis-ski.com/general/load-competitor-picture/35214.html,,AUT
Alessia Pittin,296267,1983,48106,https://data.fis-ski.com/general/load-competitor-picture/48106.html,,ITA
Monika Dumermuth,515429,1977,14639,https://data.fis-ski.com/general/load-competitor-picture/14639.html,Baergchutze,SUI
Frida Hansdotter,505679,13-12-1985,23190,https://data.fis-ski.com/general/load-competitor-picture/23190.html,Norbergs SLK,SWE
Celine Daetwyler,515252,1973,12093,https://data.fis-ski.com/general/load-competitor-picture/12093.html,,SUI
Emily Brydon,105997,1980,7696,https://data.fis-ski.com/general/load-competitor-picture/7696.html,Fernie Snow Valley Ski Club,CAN
Andreja Slokar,565463,15-10-1997,188441,https://data.fis-ski.com/general/load-competitor-picture/188441.html,SK Dol Ajdovscina,SLO
Michaela Noesig,55914,1988,94824,https://data.fis-ski.com/general/load-competitor-picture/94824.html,SV Laengenfeld,AUT
Emelie Wikstroem,506341,02-10-1992,137941,https://data.fis-ski.com/general/load-competitor-picture/137941.html,Ifk Savsjo,SWE
Caroline Pellat-Finet,195291,1978,46757,https://data.fis-ski.com/general/load-competitor-picture/46757.html,Villarddelans,FRA
Nina-Katarina Mihovilovic,565325,1988,94058,https://data.fis-ski.com/general/load-competitor-picture/94058.html,APT - SK Alpetour,SLO
Julia Littman,537672,1984,35570,https://data.fis-ski.com/general/load-competitor-picture/35570.html,Ski and Snowboard Club Vail,USA
Alexandra Kolier,205823,1981,31600,https://data.fis-ski.com/general/load-competitor-picture/31600.html,SC Garmisch,GER
Paulina Grassl,506557,1994,156139,https://data.fis-ski.com/general/load-competitor-picture/156139.html,Sunne Ak,SWE
Kerrin Lee- Gartner,105078,1966,34587,https://data.fis-ski.com/general/load-competitor-picture/34587.html,,CAN
