name,id,bd,competitor_id,photo,club,country
Thomas Hettegger,54245,14-01-1994,159254,https://data.fis-ski.com/general/load-competitor-picture/159254.html,SK Wagrain - Salzburg,AUT
Wolfgang Hell,290896,1980,24258,https://data.fis-ski.com/general/load-competitor-picture/24258.html,,ITA
Andreas Strodl,201987,1987,79081,https://data.fis-ski.com/general/load-competitor-picture/79081.html,SC Partenkirchen,GER
Dominik Gschwenter,51060,1984,9524,https://data.fis-ski.com/general/load-competitor-picture/9524.html,,SUI
Zahari Yanakiev,90134,1987,78799,https://data.fis-ski.com/general/load-competitor-picture/78799.html,Balkan,BUL
Patrice Manuel,190289,1974,37473,https://data.fis-ski.com/general/load-competitor-picture/37473.html,CSH Briancon,FRA
William Duke,30357,11-11-1995,172526,https://data.fis-ski.com/general/load-competitor-picture/172526.html,CAB,ARG
Ryu Takeda,301886,1984,60407,https://data.fis-ski.com/general/load-competitor-picture/60407.html,Sunmillion Ski Club,JPN
Scott Macartney,532490,1978,36593,https://data.fis-ski.com/general/load-competitor-picture/36593.html,Crystal Mountain Alpine Club,USA
Christoph Kornberger,50841,1981,31912,https://data.fis-ski.com/general/load-competitor-picture/31912.html,WSV Pichl- Reiteralm -  Steiermark,AUT
Nicolas Thoule,194212,1990,120358,https://data.fis-ski.com/general/load-competitor-picture/120358.html,S.C. Chatel,FRA
Anthony Obert,192943,1985,44397,https://data.fis-ski.com/general/load-competitor-picture/44397.html,C.S. Chamonix,FRA
Patrick Jazbec,561161,1989,106235,https://data.fis-ski.com/general/load-competitor-picture/106235.html,BRM - SK Branik Maribor,SLO
Kiril Manolov,90132,1987,78797,https://data.fis-ski.com/general/load-competitor-picture/78797.html,Dragalevtsi 05,BUL
Kentaro Minagawa,300804,1977,40448,https://data.fis-ski.com/general/load-competitor-picture/40448.html,Takemura Sogo Setsubi Ski Club,JPN
Antonio Fantino,690413,1991,130364,https://data.fis-ski.com/general/load-competitor-picture/130364.html,CS CARABINIERI,ITA
Thomas Sykora,50213,1968,172681,https://data.fis-ski.com/general/load-competitor-picture/172681.html,Maelaroerarnas Alpina sk,SWE
Asgeir Linberg,420129,1968,35337,https://data.fis-ski.com/general/load-competitor-picture/35337.html,,NOR
Sam Alphand,6190459,29-09-1997,187315,https://data.fis-ski.com/general/load-competitor-picture/187315.html,C.S serre chevalier,FRA
Christophe Fivel,190140,1967,17380,https://data.fis-ski.com/general/load-competitor-picture/17380.html,SC Corbier,FRA
Daniel Dorigo,291704,1977,14100,https://data.fis-ski.com/general/load-competitor-picture/14100.html,,ITA
Michal Jasiczek,430633,13-03-1994,156887,https://data.fis-ski.com/general/load-competitor-picture/156887.html,SNA Ski Team Zakopane,POL
Arttu Niemela,180732,26-04-1994,157638,https://data.fis-ski.com/general/load-competitor-picture/157638.html,Ski Club Jyvaskyla,FIN
Tim Lindgren,501384,1989,107306,https://data.fis-ski.com/general/load-competitor-picture/107306.html,Uhsk Umeå SK,SWE
Max Franz,53817,01-09-1989,75579,https://data.fis-ski.com/general/load-competitor-picture/75579.html,SKI Liberty Race Club,USA
Semyel Bissig,512274,19-01-1998,195357,https://data.fis-ski.com/general/load-competitor-picture/195357.html,Beckenried-Klewenalp,SUI
Alex Vinatzer,6293171,22-09-1999,204319,https://data.fis-ski.com/general/load-competitor-picture/204319.html,GRUPPO SCIATORI FIAMME GIALLE,ITA
Alex Happacher,292150,1979,23300,https://data.fis-ski.com/general/load-competitor-picture/23300.html,,ITA
Emanuele Buzzi,6290985,27-10-1994,155676,https://data.fis-ski.com/general/load-competitor-picture/155676.html,C.S. CARABINIERI SEZ. SCI,ITA
Sam Morse,6531520,27-05-1996,173338,https://data.fis-ski.com/general/load-competitor-picture/173338.html,Carrabassett Valley Academy,USA
Saemi Perren,510275,1980,47081,https://data.fis-ski.com/general/load-competitor-picture/47081.html,Zermatt,SUI
Dmitry Trelevski,770011,14-11-1983,79916,https://data.fis-ski.com/general/load-competitor-picture/79916.html,Bishkek,KGZ
Borut Bozic,561404,26-11-2000,211508,https://data.fis-ski.com/general/load-competitor-picture/211508.html,SK Radovljica,SLO
Pierre Violon,190729,1973,64377,https://data.fis-ski.com/general/load-competitor-picture/64377.html,,FRA
Roger Brown,533336,1981,7409,https://data.fis-ski.com/general/load-competitor-picture/7409.html,Cochran Ski Club,USA
Rodolfo Roberto Dickson Sommers,540026,11-07-1997,188727,https://data.fis-ski.com/general/load-competitor-picture/188727.html,,MEX
Ramon Zenhaeusern,511902,04-05-1992,138578,https://data.fis-ski.com/general/load-competitor-picture/138578.html,Buerchen,SUI
Stefan Prisadov,92562,1990,118160,https://data.fis-ski.com/general/load-competitor-picture/118160.html,Pamporovo,BUL
Johan Brolenius,500499,1977,7289,https://data.fis-ski.com/general/load-competitor-picture/7289.html,Oerebro SLF,SWE
Cody B Marshall,533739,1982,37894,https://data.fis-ski.com/general/load-competitor-picture/37894.html,Rowmark Ski Academy,USA
Samu Torsti,180666,05-09-1991,127584,https://data.fis-ski.com/general/load-competitor-picture/127584.html,Vasa Skidklubb,FIN
Seigo Kato,6300451,14-04-1998,195035,https://data.fis-ski.com/general/load-competitor-picture/195035.html,Nozawaonsen Ski Club,JPN
Jakub Klusak,430550,1992,138081,https://data.fis-ski.com/general/load-competitor-picture/138081.html,AZS  Zakopane,POL
Bostjan Kline,561216,09-03-1991,126771,https://data.fis-ski.com/general/load-competitor-picture/126771.html,ASK Branik Maribor,SLO
Kilian Albrecht,92591,1973,645,https://data.fis-ski.com/general/load-competitor-picture/645.html,Ulen,BUL
Filip Zubcic,380335,27-01-1993,146641,https://data.fis-ski.com/general/load-competitor-picture/146641.html,SK Koncar,CRO
Patrick Cogoli,291471,1976,10661,https://data.fis-ski.com/general/load-competitor-picture/10661.html,,ITA
Stepan Zuev,481006,1988,94384,https://data.fis-ski.com/general/load-competitor-picture/94384.html,FCO of Russia,RUS
Lucas Senoner,292784,1983,55662,https://data.fis-ski.com/general/load-competitor-picture/55662.html,C.S. Carabinieri,ITA
Bryce Bennett,6530104,14-07-1992,137204,https://data.fis-ski.com/general/load-competitor-picture/137204.html,Squaw Valley Ski Team,USA
Tijan Marovt,561378,08-07-1998,195151,https://data.fis-ski.com/general/load-competitor-picture/195151.html,ASK Branik Maribor,SLO
Hubert Strolz,50209,1962,168730,https://data.fis-ski.com/general/load-competitor-picture/168730.html,Uhsk Umea sk,SWE
Thibaut Favrot,194935,22-12-1994,159244,https://data.fis-ski.com/general/load-competitor-picture/159244.html,S.K. Strasbourg,FRA
Eemeli Pirinen,180705,21-04-1993,145321,https://data.fis-ski.com/general/load-competitor-picture/145321.html,Kuopio Ski Club,FIN
Daniel Mahrer,510154,1962,36984,https://data.fis-ski.com/general/load-competitor-picture/36984.html,,SUI
Urs Kaelin,510125,1966,28844,https://data.fis-ski.com/general/load-competitor-picture/28844.html,SSV,SUI
Tomoya Ishii,303097,23-05-1989,104109,https://data.fis-ski.com/general/load-competitor-picture/104109.html,Goldwin Ski Club,JPN
Sandro Jenal,511857,28-09-1992,138517,https://data.fis-ski.com/general/load-competitor-picture/138517.html,Samnaun,SUI
Heinrich Rupp,510504,1972,52572,https://data.fis-ski.com/general/load-competitor-picture/52572.html,,SUI
Jouni Pellinen,180449,1983,46800,https://data.fis-ski.com/general/load-competitor-picture/46800.html,Imatran Urheilijat,FIN
Brian Stemmle,100294,1966,58642,https://data.fis-ski.com/general/load-competitor-picture/58642.html,Georgian Peaks Ski Club,CAN
Todd Kelly,530190,1969,30047,https://data.fis-ski.com/general/load-competitor-picture/30047.html,,USA
Franco Colturi,290791,1970,10878,https://data.fis-ski.com/general/load-competitor-picture/10878.html,,ITA
Richard Gravier,190204,1974,21477,https://data.fis-ski.com/general/load-competitor-picture/21477.html,CS VAL Cenis,FRA
Alexander Prosch,291420,1976,49137,https://data.fis-ski.com/general/load-competitor-picture/49137.html,,ITA
Sebastiano Gastaldi,30266,12-06-1991,79503,https://data.fis-ski.com/general/load-competitor-picture/79503.html,,JPN
Gaku Hirasawa,300444,1973,24952,https://data.fis-ski.com/general/load-competitor-picture/24952.html,,JPN
Roy-Alexander Steudle,221053,05-07-1993,146884,https://data.fis-ski.com/general/load-competitor-picture/146884.html,Ambition Racing,GBR
Oliver Kuenzi,510140,1966,32817,https://data.fis-ski.com/general/load-competitor-picture/32817.html,,SUI
Tommy Ford,531799,20-03-1989,105908,https://data.fis-ski.com/general/load-competitor-picture/105908.html,Mount Bachelor Sports Ed Fnd,USA
Nicolas Raffort,194368,27-06-1991,127052,https://data.fis-ski.com/general/load-competitor-picture/127052.html,S.C. Contamines,FRA
Alexander Koll,50900,1982,31607,https://data.fis-ski.com/general/load-competitor-picture/31607.html,Union Freistadt -  Oberoesterreich,AUT
Marco Odermatt,512269,08-10-1997,190231,https://data.fis-ski.com/general/load-competitor-picture/190231.html,Hergiswil,SUI
Dominik Bialobrzycki,430667,08-08-1995,165349,https://data.fis-ski.com/general/load-competitor-picture/165349.html,AZS AWF Katowice,POL
Klaus Brandner,202196,30-01-1990,118271,https://data.fis-ski.com/general/load-competitor-picture/118271.html,WSV Koenigssee,GER
Marlon Sjoberg,180817,18-05-1997,190669,https://data.fis-ski.com/general/load-competitor-picture/190669.html,Grifk Alpine,FIN
Kipling Weisel,6531217,26-03-1995,164858,https://data.fis-ski.com/general/load-competitor-picture/164858.html,Dartmouth Ski Team,USA
Christophe Roux,910001,1983,52228,https://data.fis-ski.com/general/load-competitor-picture/52228.html,,MDA
Guenther Marxer,350017,1964,38220,https://data.fis-ski.com/general/load-competitor-picture/38220.html,,LIE
Markus Eberle,201240,1969,14986,https://data.fis-ski.com/general/load-competitor-picture/14986.html,SV Casino Kleinwalsertal,GER
Maxim Kedrin,480613,1982,29927,https://data.fis-ski.com/general/load-competitor-picture/29927.html,,RUS
Martin Khuber,670052,23-01-1992,149568,https://data.fis-ski.com/general/load-competitor-picture/149568.html,,KAZ
Tommy Moe,530622,1970,40861,https://data.fis-ski.com/general/load-competitor-picture/40861.html,Jackson Hole SKI Club,USA
Max Luukko,180737,04-01-1994,158390,https://data.fis-ski.com/general/load-competitor-picture/158390.html,Grifk Alpine,FIN
Markus Nilsen,421859,1989,108222,https://data.fis-ski.com/general/load-competitor-picture/108222.html,Narvik Slalomklubb,NOR
Remy Falgoux,6190197,28-04-1996,172476,https://data.fis-ski.com/general/load-competitor-picture/172476.html,SC BESSE,FRA
Martin Cater,561255,20-12-1992,137323,https://data.fis-ski.com/general/load-competitor-picture/137323.html,SD Unior Celje,SLO
Ales Gorza,560406,1980,21083,https://data.fis-ski.com/general/load-competitor-picture/21083.html,CRN - SK Crna,SLO
Andy Plank,291034,1989,107847,https://data.fis-ski.com/general/load-competitor-picture/107847.html,G.S. FIAMME ORO MOENA,ITA
Patrick Haugen Veisten,422359,12-12-1994,155149,https://data.fis-ski.com/general/load-competitor-picture/155149.html,Nero,NOR
Jeff Durand,101112,1976,14766,https://data.fis-ski.com/general/load-competitor-picture/14766.html,Lake Louise Ski Club,CAN
Tomas Tucek,150077,1975,62628,https://data.fis-ski.com/general/load-competitor-picture/62628.html,,CZE
Yasuyuki Takishita,300701,1976,60471,https://data.fis-ski.com/general/load-competitor-picture/60471.html,,JPN
Vincent Kriechmayr,53980,01-10-1991,126472,https://data.fis-ski.com/general/load-competitor-picture/126472.html,TVN Wels - Oberoesterreich,AUT
Matteo Marsaglia,293550,05-10-1985,37873,https://data.fis-ski.com/general/load-competitor-picture/37873.html,C.S. ESERCITO,ITA
Samuel Kolega,380377,15-01-1999,202395,https://data.fis-ski.com/general/load-competitor-picture/202395.html,SK Koncar,CRO
Lasse Kjus,420470,1971,30876,https://data.fis-ski.com/general/load-competitor-picture/30876.html,Baerums SK,NOR
Daniel Yule,511996,18-02-1993,148287,https://data.fis-ski.com/general/load-competitor-picture/148287.html,Champex-Ferret,SUI
Manuel Kramer,53837,1989,90231,https://data.fis-ski.com/general/load-competitor-picture/90231.html,Nubs NOB Racing,USA
Marco Reymond,512082,05-09-1994,156494,https://data.fis-ski.com/general/load-competitor-picture/156494.html,Blonay,SUI
Luke Steyn,870002,07-06-1993,150690,https://data.fis-ski.com/general/load-competitor-picture/150690.html,,ZIM
Janez Jazbec,561032,1984,27786,https://data.fis-ski.com/general/load-competitor-picture/27786.html,KRG - ASK Kranjska Gora,SLO
Thomas Grandi,100115,1972,21352,https://data.fis-ski.com/general/load-competitor-picture/21352.html,Banff Alpine Racers,CAN
Matthias Tippelreither,51434,1988,94883,https://data.fis-ski.com/general/load-competitor-picture/94883.html,Schiclub Goestling-Hochkar - Nieder,AUT
Anders Rintza,170053,1977,51121,https://data.fis-ski.com/general/load-competitor-picture/51121.html,,DEN
Steve Missillier,192506,1984,40565,https://data.fis-ski.com/general/load-competitor-picture/40565.html,Armees-Emhm -  S.C. Gd Bornand,FRA
Chad Fleischer,530240,1972,17472,https://data.fis-ski.com/general/load-competitor-picture/17472.html,SKI Snowboard Club Vail,USA
Reto Schmidiger,511908,21-04-1992,138596,https://data.fis-ski.com/general/load-competitor-picture/138596.html,Hergiswil,SUI
Didier Plaschy,510497,1973,48209,https://data.fis-ski.com/general/load-competitor-picture/48209.html,SAS Lausanne,SUI
Thomas Fanara,191750,24-04-1981,16412,https://data.fis-ski.com/general/load-competitor-picture/16412.html,Douanes - C.S. Praz Sur Arly,FRA
Primoz Skerbinek,560419,1980,56915,https://data.fis-ski.com/general/load-competitor-picture/56915.html,,SLO
Urs Lehmann,510313,1969,34676,https://data.fis-ski.com/general/load-competitor-picture/34676.html,,SUI
Peter Duerr,200065,1960,14547,https://data.fis-ski.com/general/load-competitor-picture/14547.html,,GER
Stefan Stankalla,200249,1975,58305,https://data.fis-ski.com/general/load-competitor-picture/58305.html,SC Partenkirchen,GER
Ole Magnus Kulbeck,421332,1983,32888,https://data.fis-ski.com/general/load-competitor-picture/32888.html,Skien Alpinclub,NOR
Patrick Biggs,102456,1982,4952,https://data.fis-ski.com/general/load-competitor-picture/4952.html,Ottawa Ski Club,CAN
Benno Wicki,510254,1968,66074,https://data.fis-ski.com/general/load-competitor-picture/66074.html,,SUI
Mikhail Taranenko,480997,1988,94375,https://data.fis-ski.com/general/load-competitor-picture/94375.html,,RUS
Franco Cavegn,510035,1971,9325,https://data.fis-ski.com/general/load-competitor-picture/9325.html,Vella Dagens,SUI
Giordano Ronci,6290183,12-10-1992,140289,https://data.fis-ski.com/general/load-competitor-picture/140289.html,C.S. Esercito,ITA
Jeff Piccard,191007,1976,47721,https://data.fis-ski.com/general/load-competitor-picture/47721.html,SC Saisies,FRA
Ivan Kuznetsov,481730,08-06-1996,176543,https://data.fis-ski.com/general/load-competitor-picture/176543.html,,RUS
Giorgio Gros,291210,1981,21855,https://data.fis-ski.com/general/load-competitor-picture/21855.html,,ITA
Stephan Keppler,201606,1983,30133,https://data.fis-ski.com/general/load-competitor-picture/30133.html,WSV Ebingen,GER
Szymon Kraciuk,430005,1963,32240,https://data.fis-ski.com/general/load-competitor-picture/32240.html,,POL
Hansueli Tschiemer,510587,1975,62505,https://data.fis-ski.com/general/load-competitor-picture/62505.html,,SUI
Julien Cousineau,102239,1981,11456,https://data.fis-ski.com/general/load-competitor-picture/11456.html,Mont-Tremblant,CAN
Nicholas Krause,6530486,12-05-1993,145884,https://data.fis-ski.com/general/load-competitor-picture/145884.html,Stratton Mountain School,USA
Ralf Socher,100288,1967,57409,https://data.fis-ski.com/general/load-competitor-picture/57409.html,,CAN
Kristian Ghedina,290255,1969,20079,https://data.fis-ski.com/general/load-competitor-picture/20079.html,,ITA
Alexandre Bouillot,193034,1985,6490,https://data.fis-ski.com/general/load-competitor-picture/6490.html,C.S. Val d Isere,FRA
Jonne Ruoppa,180532,1987,79389,https://data.fis-ski.com/general/load-competitor-picture/79389.html,Grifk Alpine,FIN
Bjoern Brudevoll,422572,26-02-1997,189490,https://data.fis-ski.com/general/load-competitor-picture/189490.html,Hemsedal Il,NOR
Alexander Heath,570012,1978,23980,https://data.fis-ski.com/general/load-competitor-picture/23980.html,SA Active Club,RSA
Rene Mlekuz,560089,1975,40812,https://data.fis-ski.com/general/load-competitor-picture/40812.html,SK Branik Maribor,SLO
Simon Jocher,202762,25-05-1996,175189,https://data.fis-ski.com/general/load-competitor-picture/175189.html,SC Garmisch,GER
Martin Hangl,510107,1962,23150,https://data.fis-ski.com/general/load-competitor-picture/23150.html,,SUI
Niklas Koeck,54076,01-02-1992,137570,https://data.fis-ski.com/general/load-competitor-picture/137570.html,WSV St. Jakob in Haus - Tirol,AUT
Pietro Vitalini,290573,1967,64422,https://data.fis-ski.com/general/load-competitor-picture/64422.html,,ITA
Johan Oehagen,501255,1987,80032,https://data.fis-ski.com/general/load-competitor-picture/80032.html,IFK Mora Alpina,SWE
Leon Nikic,380379,04-10-1999,202874,https://data.fis-ski.com/general/load-competitor-picture/202874.html,SK Rijeka,CRO
Leif Kristian Haugen,421669,29-11-1987,81859,https://data.fis-ski.com/general/load-competitor-picture/81859.html,Lommedalens IL,NOR
Nicklas Naeaes,500165,1973,42487,https://data.fis-ski.com/general/load-competitor-picture/42487.html,,SWE
Stephane Cretin,190098,1967,11631,https://data.fis-ski.com/general/load-competitor-picture/11631.html,,FRA
Stefan Hadalin,561322,06-06-1995,165208,https://data.fis-ski.com/general/load-competitor-picture/165208.html,Sport klub Dol AJDOVSCINA,SLO
Magnus Walch,54104,15-06-1992,138366,https://data.fis-ski.com/general/load-competitor-picture/138366.html,SC Arlberg - Vorarlberg,AUT
Florian Schieder,6291625,26-12-1995,165366,https://data.fis-ski.com/general/load-competitor-picture/165366.html,C.S. CARABINIERI SEZ. SCI,ITA
Josef Strobl,561177,1974,109841,https://data.fis-ski.com/general/load-competitor-picture/109841.html,ASK Kranjska Gora,SLO
Felix Belczyk,100017,1961,3822,https://data.fis-ski.com/general/load-competitor-picture/3822.html,,CAN
Yannick Bertrand,191591,1980,4654,https://data.fis-ski.com/general/load-competitor-picture/4654.html, S.C. Chatel,FRA
Pierre Egger,50595,1978,15200,https://data.fis-ski.com/general/load-competitor-picture/15200.html,,AUT
Blaise Giezendanner,194298,29-11-1991,126982,https://data.fis-ski.com/general/load-competitor-picture/126982.html,C.S. Chamonix,FRA
Filip Forejtek,151215,03-11-1997,187964,https://data.fis-ski.com/general/load-competitor-picture/187964.html,ST Svaty Petr- LO,CZE
Niki Fuerstauer,340054,1980,73245,https://data.fis-ski.com/general/load-competitor-picture/73245.html,,LBN
Hannes Reiter,50851,1981,50429,https://data.fis-ski.com/general/load-competitor-picture/50429.html,,AUT
Cedric Meilleur,191008,1976,39485,https://data.fis-ski.com/general/load-competitor-picture/39485.html,SC Saisies,FRA
Manfred Moelgg,292491,03-06-1982,40870,https://data.fis-ski.com/general/load-competitor-picture/40870.html,Gruppo Sciatori Fiamme Gialle,ITA
Kevin Francis,533842,1982,18063,https://data.fis-ski.com/general/load-competitor-picture/18063.html,Mammoth Mountain Ski Club,USA
Tobias Gruenenfelder,510747,1977,21972,https://data.fis-ski.com/general/load-competitor-picture/21972.html,Elm,SUI
Victor Guillot,6190329,12-06-1996,177414,https://data.fis-ski.com/general/load-competitor-picture/177414.html,S.C. Bonneval Sur Arc,FRA
Cameron Alexander,104537,31-05-1997,189309,https://data.fis-ski.com/general/load-competitor-picture/189309.html,WMSC,CAN
Christopher Hoerl,54117,30-08-1989,141855,https://data.fis-ski.com/general/load-competitor-picture/141855.html,SK Saalfelden,MDA
Maui Gayme,110130,1983,19706,https://data.fis-ski.com/general/load-competitor-picture/19706.html,Club Andes,CHI
Jan Einar Thorsen,420205,1966,61447,https://data.fis-ski.com/general/load-competitor-picture/61447.html,,NOR
Hayata Wakatsuki,6300673,26-01-1999,202849,https://data.fis-ski.com/general/load-competitor-picture/202849.html,Kinki Unv.,JPN
Miks Zvejnieks,550066,08-03-1995,169276,https://data.fis-ski.com/general/load-competitor-picture/169276.html,SK Virsotne,LAT
Silvano Beltrametti,510812,1979,3952,https://data.fis-ski.com/general/load-competitor-picture/3952.html,,SUI
Daniel Zueger,510344,1979,68469,https://data.fis-ski.com/general/load-competitor-picture/68469.html,Klosters,SUI
Kieran Norris,221190,1995,166538,https://data.fis-ski.com/general/load-competitor-picture/166538.html,WRA,IRL
Marvin Van Heek,400281,1991,172520,https://data.fis-ski.com/general/load-competitor-picture/172520.html,National Team,NED
Pierre Bugnard,516287,27-01-1993,151195,https://data.fis-ski.com/general/load-competitor-picture/151195.html,Davos,SUI
Michael Janyk,102435,1982,27687,https://data.fis-ski.com/general/load-competitor-picture/27687.html,Whistler Mountain Ski Club,CAN
Daniele Sette,511863,28-02-1992,138523,https://data.fis-ski.com/general/load-competitor-picture/138523.html,SAS Bern,SUI
Christof Brandner,202566,23-09-1994,155684,https://data.fis-ski.com/general/load-competitor-picture/155684.html,WSV Koenigssee,GER
Bernard Charvin,6191086,1947,221967,https://data.fis-ski.com/general/load-competitor-picture/221967.html,,FRA
Alexei Sugrobov,480468,24-01-1978,59489,https://data.fis-ski.com/general/load-competitor-picture/59489.html,Nauka,RUS
Alain Feutrier,190136,1968,17029,https://data.fis-ski.com/general/load-competitor-picture/17029.html,,FRA
Franck Carmagnolle,190121,1972,8876,https://data.fis-ski.com/general/load-competitor-picture/8876.html,,FRA
Andrea Zinsli,510512,1972,68337,https://data.fis-ski.com/general/load-competitor-picture/68337.html,SSV,SUI
Roberto Nani,294890,14-12-1988,96565,https://data.fis-ski.com/general/load-competitor-picture/96565.html,C.S. ESERCITO,ITA
Mathias Graf,54358,19-01-1996,176103,https://data.fis-ski.com/general/load-competitor-picture/176103.html,SV Dornbirn - Vorarlberg,AUT
Dries Van Den Broecke,60236,10-05-1995,168284,https://data.fis-ski.com/general/load-competitor-picture/168284.html,Ice Mountain Racing Team,BEL
Patrick Feurstein,54359,01-12-1996,176104,https://data.fis-ski.com/general/load-competitor-picture/176104.html,SV Mellau - Vorarlberg,AUT
Heiner Laengst,202602,1994,156176,https://data.fis-ski.com/general/load-competitor-picture/156176.html,TSG Reutlingen,GER
Noel Baxter,220083,1981,3471,https://data.fis-ski.com/general/load-competitor-picture/3471.html,Cairngorm Ski Club,GBR
Hannes Reichelt,50742,05-07-1980,50281,https://data.fis-ski.com/general/load-competitor-picture/50281.html,SK Sparkasse Radstadt -  Salzburg,AUT
Gregor Grilc,560108,1970,21709,https://data.fis-ski.com/general/load-competitor-picture/21709.html,,SLO
Nicholas Moynihan,221112,31-03-1994,155160,https://data.fis-ski.com/general/load-competitor-picture/155160.html,Kandahar,GBR
Adrian Pertl,54348,22-04-1996,175813,https://data.fis-ski.com/general/load-competitor-picture/175813.html,WSV Reichenau-Turracherhoehe - Kaer,AUT
Istok Rodes,380361,27-01-1996,172529,https://data.fis-ski.com/general/load-competitor-picture/172529.html,SK Varazdin,CRO
Francois Simond,190328,1969,56628,https://data.fis-ski.com/general/load-competitor-picture/56628.html,Flaine,FRA
Travis Ganong,530874,14-07-1988,97246,https://data.fis-ski.com/general/load-competitor-picture/97246.html,Squaw Valley Ski Team,USA
Tommaso Sala,6291574,06-09-1995,165227,https://data.fis-ski.com/general/load-competitor-picture/165227.html,G.S. FIAMME ORO MOENA,ITA
Kai Are Fossland,420789,1976,17889,https://data.fis-ski.com/general/load-competitor-picture/17889.html,,NOR
Vincent Millet,190707,1973,40378,https://data.fis-ski.com/general/load-competitor-picture/40378.html,EMHM Val Thorens,FRA
Klaus Gattermann,200088,1961,19608,https://data.fis-ski.com/general/load-competitor-picture/19608.html,,GER
Federico Liberatore,6291631,28-08-1995,165385,https://data.fis-ski.com/general/load-competitor-picture/165385.html,G.S. FIAMME ORO MOENA,ITA
Thomas Tumler,511638,05-11-1989,105040,https://data.fis-ski.com/general/load-competitor-picture/105040.html,Samnaun,SUI
Mika Marila,180121,1973,37715,https://data.fis-ski.com/general/load-competitor-picture/37715.html,Harjavallan Jymy,FIN
Mauro Caviezel,511513,18-08-1988,94491,https://data.fis-ski.com/general/load-competitor-picture/94491.html,Beverin,SUI
Victor Muffat Jeandet,193967,05-03-1989,108784,https://data.fis-ski.com/general/load-competitor-picture/108784.html,DOUANES C.S VAL D ISERE,FRA
AJ Ginnis,6531063,17-11-1994,161182,https://data.fis-ski.com/general/load-competitor-picture/161182.html,,USA
Sebastian Holzmann,202520,22-03-1993,146347,https://data.fis-ski.com/general/load-competitor-picture/146347.html,SC Oberstdorf,GER
Tobias Barnerssoi,200008,1969,3016,https://data.fis-ski.com/general/load-competitor-picture/3016.html,,GER
Sergio Bergamelli,290640,1970,4233,https://data.fis-ski.com/general/load-competitor-picture/4233.html,,ITA
